league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
MLS,31134,José Guillermo Rodríguez,Sporting Kansas City,Tomas Ángel Gutiérrez,San Diego FC,82606,0.29464285714285726,FALSE,0,FALSE,FALSE,jose|guillermo|rodriguez,tomas|angel|gutierrez
MLS,31171,Alexander Roldán Leon,Seattle Sounders,Alexander Freeman,Orlando City,224439,0.20564892623716158,FALSE,1,FALSE,FALSE,alexander|roldan|leon,alexander|freeman
MLS,31520,Ocimar de Almeida Júnior,Houston Dynamo,Yeimar Gómez Andrade,Seattle Sounders,28114,0.28194444444444444,FALSE,0,FALSE,FALSE,ocimar|almeida|junior,yeimar|gomez|andrade
MLS,32940,Guilherme da Trindade Dubas,Austin,Guilherme Biro,Austin FC,47159,0.26058201058201075,TRUE,1,FALSE,FALSE,guilherme|trindade|dubas,guilherme|biro
MLS,36476,Ralph-William Johnson Priso-Mbongue,Vancouver Whitecaps FC,Alonso,Toronto FC,229444,0.2727272727272728,FALSE,0,FALSE,FALSE,ralphwilliam|johnson|prisombongue,alonso
MLS,39455,Willy Agada,Real Salt Lake,Liel Abada,Charlotte,38776,0.19924242424242428,FALSE,0,FALSE,FALSE,willy|agada,liel|abada
MLS,141706,Rwan Philipe Rodrigues de Souza Cruz,Real Salt Lake,Omir Guadalupe Fernandez Mosso,Portland Timbers,23859,0.3236111111111111,FALSE,0,FALSE,FALSE,rwan|philipe|rodrigues|souza|cruz,omir|guadalupe|fernandez|mosso
MLS,166528,Alex Freeman,Orlando City,Alex Roldán,Seattle Sounders,16761,0.20202020202020204,FALSE,1,FALSE,FALSE,alex|freeman,alex|roldan
MLS,171787,Pedro Henrique Fonseca de Araújo Martins,FC Dallas,Pedro De la Vega,Seattle Sounders,29558,0.3131410256410257,FALSE,1,FALSE,FALSE,pedro|henrique|fonseca|araujo|martins,pedro|vega
MLS,817415,Harbor Michael  Miller,LA Galaxy,Harbor Tarczynski-Miller,LA Galaxy,429014,0.25373102139406495,TRUE,1,FALSE,FALSE,harbor|michael|miller,harbor|tarczynskimiller
Premier League,44869,Valentino Francisco  Livramento,Newcastle United,Valentín Castellanos,West Ham United,15473,0.27287581699346414,FALSE,0,FALSE,FALSE,valentino|francisco|livramento,valentin|castellanos
LaLiga,2190,Daniel Ceballos Fernández,Real Madrid CF,Dani Ceballos,Real Madrid,6697,0.236923076923077,TRUE,1,FALSE,FALSE,daniel|ceballos|fernandez,dani|ceballos
LaLiga,2236,Daniel Parejo Muñoz,Villarreal CF,Daniel Olmo,Barcelona,16532,0.18819776714513564,FALSE,1,FALSE,FALSE,daniel|parejo|munoz,daniel|olmo
LaLiga,5942,Jorge Resurrección Merodio,Atlético Madrid,Javier Guerra Moreno,Valencia,183761,0.2732277526395173,FALSE,0,FALSE,FALSE,jorge|resurreccion|merodio,javier|guerra|moreno
LaLiga,7748,Moisés Gómez Bordonado,CA Osasuna,Oso,Sevilla,419557,0.28787878787878796,FALSE,0,FALSE,FALSE,moises|gomez|bordonado,oso
LaLiga,12242,Jonathan Castro Otto,Deportivo Alavés,Natan,Real Betis,49048,0.25000000000000006,FALSE,0,FALSE,FALSE,jonathan|castro|otto,natan
LaLiga,12456,Francisco Femenía Far,Getafe CF,Francisco Gracia,Levante UD,434033,0.1884920634920636,FALSE,1,FALSE,FALSE,francisco|femenia|far,francisco|gracia
LaLiga,13418,Roberto Navarro Muñoz,Athletic Club de Bilbao,Robert Navarro,Athletic Club,47375,0.19444444444444453,FALSE,1,FALSE,FALSE,roberto|navarro|munoz,robert|navarro
